"Jahr","PLZ","Generalabonnement","Generalabonnement.Flag","Halbtaxabonnement","Halbtaxabonnement.Flag","Bevölkerung","anteil_ga_besitzer","anteil_hta_besitzer"
2018,4616,222,NA,909,NA,3221,6.89226948152748,28.2210493635517
2018,4626,58,NA,322,NA,1175,4.93617021276596,27.4042553191489
2018,4628,103,NA,531,NA,2274,4.52946350043975,23.3509234828496
2018,4633,32,NA,108,NA,314,10.1910828025478,34.3949044585987
2018,4655,82,NA,385,NA,1146,7.15532286212914,33.5951134380454
2018,4713,62,NA,369,NA,1320,4.6969696969697,27.9545454545455
2018,4803,99,NA,610,NA,1963,5.04330106979114,31.0748853795211
2018,4814,33,NA,224,NA,802,4.11471321695761,27.930174563591
2018,4856,27,NA,167,NA,767,3.52020860495437,21.7731421121252
2018,4911,27,NA,130,NA,522,5.17241379310345,24.904214559387
2018,4912,356,NA,1381,NA,4534,7.851786501985,30.4587560652845
2018,4919,0,NA,27,NA,180,0,15
2018,4938,85,NA,510,NA,1913,4.44328280188186,26.6596968112912
2018,4942,10.3114754098361,1,83,NA,370,2.78688524590164,22.4324324324324
2018,4950,291,NA,1333,NA,4579,6.35509936667395,29.1111596418432
2018,4954,39,NA,254,NA,1095,3.56164383561644,23.1963470319635
2018,5015,332,NA,1124,NA,3554,9.34158694428813,31.6263365222285
2018,5022,351,NA,937,NA,2484,14.1304347826087,37.7214170692432
2018,5026,21,NA,141,NA,446,4.7085201793722,31.6143497757848
2018,5027,99,NA,416,NA,1545,6.40776699029126,26.9255663430421
2018,5033,702,NA,2148,NA,7966,8.81245292493096,26.9645995480793
2018,5035,379,NA,1274,NA,4157,9.11715179215781,30.6471012749579
2018,5074,99,NA,436,NA,2291,4.3212570929725,19.0309908336971
2018,5076,51,NA,214,NA,744,6.85483870967742,28.7634408602151
2018,5079,45,NA,274,NA,1171,3.84286934244236,23.398804440649
2018,5246,45,NA,245,NA,683,6.58857979502196,35.8711566617862
2018,5274,11.24,1,81,NA,315,3.56825396825397,25.7142857142857
2018,5326,44,NA,110,NA,674,6.52818991097923,16.3204747774481
2018,5453,137,NA,644,NA,1991,6.88096433952788,32.3455549974887
2018,5454,86,NA,563,NA,1559,5.51635663887107,36.1128928800513
2018,5465,24,NA,72,NA,224,10.7142857142857,32.1428571428571
2018,5466,11.24,1,146,NA,434,2.58986175115207,33.6405529953917
2018,5506,166,NA,546,NA,2119,7.83388390750354,25.7668711656442
2018,5512,58,NA,426,NA,1559,3.72033354714561,27.325208466966
2018,5525,71,NA,379,NA,1640,4.32926829268293,23.109756097561
2018,5600,1757,NA,3912,NA,11274,15.584530778783,34.6993081426291
2018,5610,948,NA,3281,NA,15074,6.28897439299456,21.7659546238556
2018,5614,121,NA,719,NA,2895,4.17962003454231,24.8359240069085
2018,5615,92,NA,506,NA,2140,4.29906542056075,23.6448598130841
2018,5617,32,NA,127,NA,430,7.44186046511628,29.5348837209302
2018,5619,47,NA,351,NA,1480,3.17567567567568,23.7162162162162
2018,5623,147,NA,703,NA,2782,5.28396836808052,25.2695902228613
2018,5624,61,NA,279,NA,1111,5.49054905490549,25.1125112511251
2018,5625,11.24,1,80,NA,368,3.05434782608696,21.7391304347826
2018,5632,57,NA,324,NA,1294,4.40494590417311,25.0386398763524
2018,5634,145,NA,793,NA,2951,4.91358861402914,26.8722466960352
2018,5642,58,NA,322,NA,1181,4.91109229466554,27.2650296359018
2018,5705,44,NA,193,NA,875,5.02857142857143,22.0571428571429
2018,5707,265,NA,1397,NA,3996,6.63163163163163,34.95995995996
2018,5725,43,NA,202,NA,765,5.62091503267974,26.4052287581699
2018,5733,25,NA,112,NA,452,5.53097345132743,24.7787610619469
2018,6003,2240,NA,7773,NA,16906,13.2497338223116,45.9777593753697
2018,6012,146,NA,1161,NA,3194,4.57107075767063,36.3494051346274
2018,6015,314,NA,1718,NA,8134,3.86033931644947,21.1212195721662
2018,6020,996,NA,5728,NA,23289,4.27669715316244,24.5953025033278
2018,6022,81,NA,932,NA,3247,2.49461040960887,28.7034185401909
2018,6033,275,NA,1949,NA,5631,4.88367963061623,34.6119694548038
2018,6042,51,NA,359,NA,1328,3.84036144578313,27.0331325301205
2018,6063,7.58461538461538,1,352,NA,1210,0.626827717736809,29.0909090909091
2018,6078,51,NA,804,NA,2120,2.40566037735849,37.9245283018868
2018,6084,7.58461538461538,1,53,NA,126,6.01953601953602,42.0634920634921
2018,6085,7.58461538461538,1,174,NA,323,2.34817813765182,53.8699690402477
2018,6105,37,NA,401,NA,1294,2.85935085007728,30.9891808346213
2018,6106,25,NA,245,NA,788,3.17258883248731,31.0913705583756
2018,6110,168,NA,1419,NA,4819,3.48620045652625,29.4459431417307
2018,6113,7.58461538461538,1,111,NA,540,1.4045584045584,20.5555555555556
2018,6132,0,NA,10.8771929824561,2,152,0,7.15604801477378
2018,6142,27,NA,233,NA,1163,2.32158211521926,20.0343938091144
2018,6145,7.58461538461538,1,146,NA,708,1.07127335940895,20.6214689265537
2018,6146,23,NA,172,NA,741,3.10391363022942,23.2118758434548
2018,6153,7.58461538461538,1,212,NA,905,0.838079048023799,23.4254143646409
2018,6163,7.58461538461538,1,114,NA,463,1.63814587140721,24.622030237581
2018,6167,7.58461538461538,1,10.8771929824561,2,60,12.6410256410256,18.1286549707602
2018,6174,7.58461538461538,1,381,NA,870,0.871794871794872,43.7931034482759
2018,6182,154,NA,837,NA,2658,5.79382994732882,31.489841986456
2018,6215,120,NA,912,NA,3296,3.64077669902913,27.6699029126214
2018,6217,7.58461538461538,1,131,NA,493,1.53846153846154,26.5720081135903
2018,6231,21,NA,260,NA,892,2.3542600896861,29.1479820627803
2018,6234,119,NA,808,NA,3652,3.25848849945235,22.1248630887185
2018,6245,7.58461538461538,1,99,NA,384,1.97516025641026,25.78125
2018,6248,7.58461538461538,1,174,NA,669,1.13372427273773,26.0089686098655
2018,6253,24,NA,204,NA,726,3.30578512396694,28.099173553719
2018,6312,620,NA,3892,NA,10024,6.18515562649641,38.8268156424581
2018,6313,202,NA,1561,NA,4481,4.50792233876367,34.8359741129212
2018,6315,219,NA,2165,NA,5995,3.65304420350292,36.1134278565471
2018,6317,257,NA,1095,NA,2403,10.6949646275489,45.5680399500624
2018,6318,224,NA,1585,NA,3704,6.0475161987041,42.7915766738661
2018,6343,750,NA,4253,NA,10862,6.90480574479838,39.1548517768367
2018,6365,7.58461538461538,1,104,NA,245,3.09576138147567,42.4489795918367
2018,6370,439,NA,4603,NA,10419,4.21345618581438,44.1789039255207
2018,6372,30,NA,703,NA,2186,1.37236962488564,32.1591948764867
2018,6374,173,NA,1939,NA,5359,3.22821421907072,36.1821235305094
2018,6377,7.58461538461538,1,249,NA,697,1.08818011257036,35.7245337159254
2018,6382,7.58461538461538,1,415,NA,1050,0.722344322344322,39.5238095238095
2018,6387,7.58461538461538,1,49,NA,206,3.68185212845407,23.7864077669903
2018,6417,53,NA,601,NA,1942,2.72914521112255,30.9474768280124
2018,6424,52,NA,332,NA,1100,4.72727272727273,30.1818181818182
2018,6432,71,NA,512,NA,1335,5.31835205992509,38.3520599250936
2018,6452,34,NA,115,NA,504,6.74603174603175,22.8174603174603
2018,6454,112,NA,721,NA,1966,5.69684638860631,36.6734486266531
2018,6460,610,NA,3772,NA,10368,5.88348765432099,36.3811728395062
2018,6463,103,NA,854,NA,2925,3.52136752136752,29.1965811965812
2018,6468,40,NA,470,NA,1725,2.31884057971015,27.2463768115942
2018,6472,174,NA,1032,NA,3789,4.59224069675376,27.236737925574
2018,6476,7.58461538461538,1,33,NA,152,4.98987854251012,21.7105263157895
2018,6484,7.58461538461538,1,81,NA,345,2.1984392419175,23.4782608695652
2018,6490,52,NA,435,NA,1390,3.7410071942446,31.294964028777
2018,6503,7.58461538461538,1,148,NA,1498,0.506316113792749,9.87983978638184
2018,6513,7.58461538461538,1,304,NA,2863,0.264918455627502,10.6182326231226
2018,6518,7.58461538461538,1,94,NA,819,0.926082464544003,11.4774114774115
2018,6524,7.58461538461538,1,24,NA,124,6.1166253101737,19.3548387096774
2018,6532,7.58461538461538,1,146,NA,1803,0.42066641068305,8.09761508596783
2018,6541,7.58461538461538,1,10.8771929824561,2,109,6.95836273817925,9.97907613069371
2018,6543,0,NA,10.8771929824561,2,75,0,14.5029239766082
2018,6556,0,NA,10.8771929824561,2,165,0,6.59223817118554
2018,6557,7.58461538461538,1,51,NA,583,1.30096318775564,8.74785591766724
2018,6575,7.58461538461538,1,96,NA,703,1.07889265784003,13.6557610241821
2018,6578,7.58461538461538,1,27,NA,116,6.53846153846154,23.2758620689655
2018,6579,7.58461538461538,1,44,NA,436,1.73959068454481,10.0917431192661
2018,6583,7.58461538461538,1,42,NA,185,4.0997920997921,22.7027027027027
2018,6594,7.58461538461538,1,76,NA,1092,0.694561848408002,6.95970695970696
